"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23","Update exercise","LMS service","2026-07-01","passed","2026-07-01","Update entity","Exercises","",""
"","269","Create file with empty filename","LMS service","2026-07-01","passed","2026-07-01","Validate entity","Files","",""
"","14","Get user me","LMS service","2026-07-01","passed","2026-07-01","Get entity","Users","",""
"","35","Update course","LMS service","2026-07-01","passed","2026-07-01","Update entity","Courses","",""
"","18","Get exercise","LMS service","2026-07-01","passed","2026-07-01","Get entity","Exercises","",""
"","17","Get file","LMS service","2026-07-01","passed","2026-07-01","Get entity","Files","",""
"","559","Login with correct email and password","LMS service","2026-07-01","passed","2026-07-01","Login","Authentication","",""
"","296","Delete exercise","LMS service","2026-07-01","passed","2026-07-01","Delete entity","Exercises","",""
"","529","Create user","LMS service","2026-07-01","passed","2026-07-01","Create entity","Users","",""
"","28","Create exercise","LMS service","2026-07-01","passed","2026-07-01","Create entity","Exercises","",""
"","36","Get course","LMS service","2026-07-01","passed","2026-07-01","Get entities","Courses","",""
"","0","test_regression_case","tests.pytest","2026-07-01","passed","2026-07-01","","test_pytest_markers","",""
"","29","Get empty file","LMS service","2026-07-01","passed","2026-07-01","Get entity","Files","",""
"","531","Create user","LMS service","2026-07-01","passed","2026-07-01","Create entity","Users","",""
"","30","Create course","LMS service","2026-07-01","passed","2026-07-01","Create entity","Courses","",""
"","268","Create file with empty directory","LMS service","2026-07-01","passed","2026-07-01","Validate entity","Files","",""
"","26","Create file","LMS service","2026-07-01","passed","2026-07-01","Create entity","Files","",""
"","18","Get exercises","LMS service","2026-07-01","passed","2026-07-01","Get entities","Exercises","",""
"","269","Create file with incorrect file id","LMS service","2026-07-01","passed","2026-07-01","Validate entity","Files","",""
"","567","Create user","LMS service","2026-07-01","passed","2026-07-01","Create entity","Users","",""
